,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
44368,0.56478,0.54153,0.64477,0.59898,0.7895,0.84318,0.74616,0.87801,0.38147,0.06787,0.53257,0.34904
27295,0.47351,0.39905,0.43381,0.44148,0.46855,0.61578,0.56426,0.63518,0.34787,0.05172,0.42285,0.31151
4314,0.57201,0.5036,0.56633,0.56838,0.62041,0.74579,0.6937,0.76743,0.50158,0.21369,0.16619,0.18065
48837,0.78949,0.74839,0.79934,0.79861,0.85342,1.01201,0.96511,1.01911,0.62036,0.07783,0.08592,0.10985
20676,0.31302,0.28417,0.34646,0.26102,0.39995,0.85423,0.70249,0.9032,0.1029,0.00724,0.51884,0.36409
30802,1.05377,0.99479,1.04977,1.06186,1.07348,1.08045,1.06244,1.08484,0.67384,0.02283,0.51866,0.44009
2107,0.97792,0.94688,1.0242,0.99653,1.03407,1.06991,0.97629,1.09083,0.44644,0.02317,0.61142,0.3651
42149,0.3595,0.32612,0.43288,0.27517,0.49677,0.8231,0.68231,0.86773,0.0158,0.00042,0.23649,0.23026
41349,0.4215,0.33821,0.4273,0.39826,0.51472,0.68748,0.65743,0.69885,0.2895,0.00385,0.11313,0.1288
31317,0.90906,0.87,0.91007,0.91528,0.92869,0.97739,0.94601,1.03831,0.64143,0.08536,0.22197,0.24931
48234,0.44564,0.42798,0.54222,0.4529,0.71877,1.01753,0.98314,1.02411,0.49684,0.00379,0.08861,0.1172
17397,0.63915,0.59871,0.6467,0.63144,0.69002,0.91164,0.83362,0.93042,0.38527,0.01545,0.42504,0.3161
18041,0.40508,0.40096,0.55979,0.41689,0.68452,1.07786,1.03208,1.09128,0.49732,0.03271,0.91472,0.72318
7772,0.70613,0.63279,0.67407,0.69165,0.70449,0.74263,0.71521,0.75779,0.5431,0.09974,0.57096,0.47829
7975,0.43804,0.34703,0.41184,0.40137,0.47331,0.56728,0.52696,0.58399,0.29096,0.02224,0.47012,0.37118
11450,0.72146,0.68737,0.74699,0.71787,0.80251,1.0112,0.96269,1.01485,0.69363,0.18668,0.09999,0.12094
17454,0.49643,0.46323,0.52085,0.48504,0.5618,0.75533,0.65595,0.79401,0.35025,0.04947,0.44578,0.27114
39191,0.38678,0.31659,0.37394,0.36332,0.42695,0.69412,0.72035,0.75281,0.34531,0.00224,0.10417,0.12086
46444,0.20358,0.19632,0.33631,0.18027,0.43629,1.02904,1.01382,1.03403,0.70411,0.0458,0.94784,0.84893
24262,0.56942,0.52474,0.55595,0.56727,0.57782,0.58424,0.57132,0.59147,0.32634,0.00993,0.30212,0.31086
42531,0.2234,0.21238,0.32161,0.18174,0.41145,0.98689,0.8901,1.01329,0.12406,0.00031,0.95689,0.75408
27271,0.63132,0.57782,0.62108,0.63118,0.65785,0.7845,0.74649,0.79913,0.56194,0.18045,0.60236,0.50114
44945,0.78821,0.74527,0.78594,0.80084,0.81552,0.95129,0.91341,0.96019,0.7396,0.2952,0.62373,0.50262
