,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
330110,0.39131,0.33178,0.34015,0.29264,0.3211,0.35266,0.29345,0.3682,0.01071,0.00049,0.07156,0.0693
95312,0.25255,0.29863,0.18791,0.4154,0.93805,0.96053,0.9225,0.98294,0.34508,0.0011,0.76636,0.33859
176140,1.02442,0.95808,1.01117,1.02056,1.02962,1.031,1.00805,1.0305,0.78845,0.28837,0.13266,0.15872
255743,0.04232,0.02507,0.01342,0.01077,0.00893,0.00723,0.00566,0.0049,0.00263,0.00036,0.0004,0.0
355904,0.71866,0.68762,0.72612,0.73394,0.74615,0.75449,0.74094,0.76295,0.4685,0.0215,0.7084,0.5932
215629,0.23787,0.17601,0.163,0.15148,0.15533,0.15917,0.14193,0.15962,0.0205,0.00095,0.14093,0.1143
66909,0.35407,0.42185,0.30667,0.63378,0.84222,0.91277,0.80545,0.96336,0.05527,0.00093,0.76124,0.35296
40515,0.68618,0.86174,1.01434,1.02108,1.04085,1.05273,1.02311,1.06461,0.53403,0.00377,0.98812,0.91077
378954,0.83868,0.78584,0.81826,0.82782,0.82961,0.82746,0.81909,0.82206,0.71334,0.18593,0.11015,0.13422
133370,0.89277,0.85915,0.87295,0.89702,0.92476,0.94354,0.90137,0.95369,0.84021,0.27657,0.10405,0.12892
211350,0.38476,0.3409,0.34633,0.32822,0.3418,0.35699,0.32622,0.36701,0.05342,0.00038,0.3176,0.23755
323477,0.63072,0.59191,0.6097,0.61398,0.61891,0.62071,0.60948,0.62132,0.43981,0.05495,0.07713,0.09693
198142,0.74762,0.72806,0.73023,0.79873,0.99259,0.9958,0.96214,0.99464,0.70807,0.16067,0.09016,0.11231
164707,0.86646,0.81206,0.84639,0.86197,0.89082,0.9059,0.86004,0.9099,0.71431,0.13239,0.05993,0.07648
136079,0.49759,0.4726,0.46488,0.51506,0.82452,0.91751,0.85712,0.93274,0.42515,0.04611,0.08032,0.09602
240525,0.42662,0.39962,0.41404,0.42311,0.42759,0.43225,0.4321,0.43847,0.36192,0.08906,0.42885,0.38518
5205,0.59876,0.55602,0.5712,0.61376,0.71279,0.74964,0.69038,0.77614,0.5166,0.16817,0.53227,0.43728
142537,0.77423,0.75009,0.75754,0.79107,0.86021,0.91183,0.82138,0.95048,0.60872,0.17521,0.11752,0.14314
198461,0.63329,0.59071,0.61115,0.64125,0.87108,0.8798,0.83633,0.88281,0.53388,0.12629,0.27646,0.27726
90377,0.15905,0.1867,0.1187,0.30045,0.88898,0.97392,0.9731,0.9872,0.77982,0.08883,0.48142,0.21453
272908,0.05151,0.03078,0.01687,0.0137,0.01138,0.00921,0.00726,0.00625,0.00357,0.00048,0.00051,0.0
214373,0.41459,0.3783,0.38964,0.39899,0.40108,0.40292,0.4045,0.40511,0.35675,0.13413,0.34784,0.26549
189955,0.70493,0.67894,0.7405,0.77955,0.8285,0.88999,0.96728,1.05251,0.58298,0.04736,0.3249,0.32132
354063,0.51038,0.44707,0.46421,0.47158,0.47627,0.47779,0.468,0.47817,0.28909,0.00796,0.23145,0.2001
395214,0.71232,0.66975,0.69851,0.70899,0.71419,0.71597,0.70852,0.71744,0.54476,0.08084,0.10704,0.12918
