,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
67345,0.3045,0.38028,0.2721,0.51999,0.88509,0.93925,0.84558,0.97748,0.09346,0.00078,0.69653,0.32335
269725,0.04561,0.02696,0.01456,0.01183,0.00978,0.00789,0.00625,0.00534,0.00337,0.00049,0.00043,0.0
107265,0.37175,0.4148,0.28846,0.60617,0.83358,0.90096,0.80113,0.95549,0.06157,0.00131,0.74168,0.30571
298318,0.07201,0.04274,0.02459,0.02046,0.01707,0.01384,0.01107,0.00944,0.00636,0.00105,0.00077,0.0
170295,0.25227,0.38907,0.21048,0.5467,0.92615,0.96475,0.88429,0.99054,0.15049,0.0006,0.79587,0.3541
101968,0.37981,0.42703,0.3373,0.51778,0.84997,0.92593,0.79624,0.97422,0.03698,0.00052,0.89378,0.46395
203162,0.10024,0.055,0.02969,0.02322,0.01965,0.01618,0.01218,0.01104,0.00408,0.00047,0.00087,0.0
236420,0.13542,0.07506,0.04343,0.03621,0.03032,0.02457,0.0194,0.01673,0.00928,0.00108,0.00133,0.0
396848,0.06523,0.03609,0.01871,0.01506,0.01237,0.00991,0.00781,0.00664,0.00413,0.00054,0.00053,0.0
146387,0.34254,0.31599,0.31784,0.31353,0.31658,0.31759,0.30114,0.30771,0.13519,0.00063,0.25704,0.21176
240193,0.08422,0.04614,0.02458,0.01999,0.01648,0.01323,0.01043,0.00889,0.00553,0.00081,0.0007,0.0
326492,0.08501,0.04654,0.02473,0.02005,0.01654,0.01329,0.01044,0.00893,0.00531,0.0007,0.0007,0.0
101434,0.27596,0.33629,0.23854,0.41861,0.88638,0.95086,0.82728,0.98805,0.05185,0.00029,0.9222,0.61456
299382,0.04963,0.02955,0.01595,0.01256,0.01055,0.00864,0.00661,0.0059,0.00239,0.00028,0.00048,0.0
359815,0.05899,0.03281,0.01684,0.01324,0.01097,0.00888,0.00682,0.00598,0.00272,0.00032,0.00048,0.0
260986,0.04885,0.02909,0.01601,0.01302,0.01083,0.00877,0.00692,0.00596,0.00342,0.00048,0.00048,0.0
81,0.20802,0.33703,0.19588,0.6028,0.96843,0.98321,0.9455,0.99577,0.41124,0.00059,0.27462,0.11559
87030,0.27179,0.39603,0.22687,0.53463,0.99715,0.99982,0.98774,1.00257,0.72433,0.05804,0.83122,0.3967
195294,0.23915,0.39673,0.19607,0.55157,0.9273,0.96672,0.88682,0.9915,0.1634,0.00039,0.77318,0.3488
4680,0.95616,0.88741,0.94005,0.92239,0.95278,0.977,0.91806,0.99469,0.25361,0.00052,0.49444,0.59046
387644,0.0686,0.0378,0.01954,0.01534,0.01276,0.01035,0.00792,0.00699,0.00303,0.00034,0.00055,0.0
16927,0.34987,0.46732,0.71345,0.81687,0.92442,0.99362,0.96644,1.00038,0.52787,0.00374,0.95085,0.92494
178346,0.68351,0.74918,0.89495,0.93749,0.95958,0.97048,0.96277,0.98494,0.6683,0.02958,0.92167,0.89303
55819,0.36686,0.38649,0.28681,0.49663,0.75955,0.87497,0.70316,0.94733,0.01515,0.00124,0.73207,0.25799
