Clear_B01,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
0.10105,0.21109,0.19808,0.23787,0.26146,0.30798,0.35914,0.36007,0.44707,0.07942,0.00033,0.93511,0.85973
0.11341,0.22055,0.2202,0.40959,0.21886,0.623,0.9485,0.82894,0.98614,0.05394,0.00039,0.91616,0.68426
0.10053,0.27014,0.30365,0.58949,0.28525,0.77853,0.99678,0.98272,1.00111,0.68505,0.03674,0.95327,0.93662
0.09323,0.20096,0.20976,0.4311,0.1843,0.60309,0.99044,0.96713,0.99809,0.5577,0.00612,0.95108,0.77892
0.14123,0.2285,0.2164,0.38994,0.18354,0.52036,0.92723,0.77903,0.9773,0.0223,0.00045,0.88888,0.59772
0.12015,0.20552,0.21909,0.44594,0.2919,0.7819,0.98664,0.96805,0.99587,0.59347,0.01145,0.94144,0.7926
0.22343,0.74513,0.61206,0.77239,0.79762,0.86113,0.90886,0.84415,0.95583,0.13576,0.0018,0.79263,0.03476
0.10112,0.26273,0.25142,0.38426,0.23958,0.5041,0.96116,0.85843,0.99148,0.09643,0.00033,0.93279,0.82657
0.08778,0.37548,0.43494,0.7743,0.45983,0.91389,0.9659,0.85728,0.99501,0.0832,0.00035,0.76882,0.51636
0.12845,0.20647,0.18803,0.31258,0.18128,0.42839,0.96477,0.89668,0.98906,0.19707,0.00046,0.64614,0.47485
0.07107,0.1972,0.19104,0.2988,0.18618,0.42886,0.99081,0.96911,0.99828,0.58574,0.01112,0.96098,0.90674
0.09875,0.19401,0.1891,0.32797,0.15264,0.41881,0.94583,0.80668,0.98689,0.03315,0.00031,0.87477,0.53891
0.08576,0.29105,0.27162,0.35648,0.24888,0.47717,0.96548,0.8586,0.9944,0.08554,0.00028,0.93562,0.81345
0.09641,0.42479,0.57262,0.95588,0.94774,0.97079,0.98607,0.94194,0.99813,0.3651,0.00052,0.85105,0.63018
0.21275,0.28061,0.22462,0.43133,0.25575,0.62079,0.86312,0.69171,0.93984,0.01376,0.00105,0.82198,0.52496
0.09273,0.16754,0.16337,0.21609,0.22888,0.34298,0.46165,0.51464,0.60909,0.31928,0.00177,0.95417,0.92736
0.09652,0.13636,0.12613,0.20279,0.20386,0.44258,0.98767,0.94647,1.00034,0.37901,0.00061,0.75969,0.53787
0.09404,0.74263,0.74228,0.82856,0.78417,0.83457,0.88558,0.79161,0.91905,0.07931,0.00031,0.87361,0.77401
0.08115,0.23137,0.22075,0.30147,0.19155,0.41559,0.95795,0.834,0.9921,0.05381,0.00031,0.93077,0.73301
0.15367,0.24074,0.21762,0.38601,0.19416,0.54928,0.95063,0.87128,0.98224,0.13685,0.00084,0.77329,0.54062
0.09645,0.21746,0.21542,0.36948,0.19696,0.54285,0.98092,0.92087,0.99717,0.25735,0.0004,0.90608,0.62994
0.09917,0.27124,0.25298,0.30892,0.22378,0.36904,0.9506,0.82273,0.98845,0.04617,0.00033,0.92067,0.73742
0.0983,0.97141,0.90573,0.9439,0.9035,0.93951,0.97333,0.89707,0.99504,0.18104,0.00036,0.93849,0.11691
0.11053,0.22323,0.19737,0.27049,0.16925,0.34993,0.94091,0.80678,0.98355,0.03591,0.00032,0.91001,0.72492
0.11292,0.17573,0.15832,0.23892,0.14136,0.34471,0.9619,0.94779,0.9985,0.39793,0.00081,0.76655,0.6061
0.16523,0.36863,0.34346,0.54152,0.33009,0.71299,0.92594,0.78449,0.97556,0.02705,0.00064,0.88816,0.7097
0.09339,0.22993,0.23569,0.41475,0.20767,0.5832,0.99548,0.98628,0.99966,0.75312,0.07918,0.88435,0.74317
0.18706,0.27746,0.23201,0.35704,0.21796,0.44915,0.93692,0.84915,0.97545,0.10061,0.00105,0.89438,0.78616
0.1854,0.24944,0.22695,0.30675,0.46255,0.54533,0.61443,0.637,0.74483,0.20079,0.00099,0.90441,0.83737
0.15895,0.8707,0.78804,0.88904,0.90088,0.93584,0.96029,0.91551,0.98332,0.30014,0.00079,0.9142,0.85628
0.08786,0.18315,0.17988,0.28579,0.17389,0.3952,0.97829,0.97844,1.00124,0.63624,0.01782,0.63411,0.46864
0.0771,0.23655,0.23219,0.34245,0.22484,0.45665,0.97969,0.909,0.99797,0.218,0.00026,0.9496,0.79829
0.08387,0.1197,0.14387,0.21755,0.31244,0.36731,0.42124,0.44515,0.55577,0.14368,0.00039,0.94553,0.88639
0.12433,0.66047,0.78296,0.94949,0.96403,0.98059,0.98876,0.96698,0.99724,0.56392,0.00709,0.94382,0.91884
