,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,COT_est
194484,0.69369,0.6433,0.66789,0.68398,0.75719,0.8014,0.723,0.82669,0.41735,0.01151,0.06883,0.08568,70.33,2.0
103976,0.63434,0.6137,0.61558,0.68719,0.92278,0.92676,0.90848,0.93028,0.72399,0.31922,0.12949,0.15668,62.58,2.0
120477,0.51404,0.42106,0.45837,0.52318,0.63676,0.66051,0.61637,0.67613,0.28527,0.00403,0.10731,0.1201,83.54,2.0
144105,0.58593,0.57904,0.74732,0.88461,0.97541,0.9845,0.9458,0.99202,0.62395,0.22758,0.12359,0.153,51.34,2.0
5155,0.55025,0.45535,0.48938,0.49792,0.62256,0.64645,0.59227,0.66279,0.15477,0.00091,0.47942,0.38649,79.8,2.0
190089,0.36593,0.32636,0.31525,0.39175,0.58315,0.62208,0.5567,0.64473,0.2191,0.01563,0.26658,0.24448,79.6,2.0
96000,0.91906,0.84659,0.92374,0.93494,0.96049,0.97602,0.9411,0.99111,0.40494,0.00096,0.04341,0.06852,69.32,0.0
192649,0.57628,0.55215,0.59837,0.61767,0.63651,0.65582,0.66119,0.68807,0.49677,0.19388,0.18033,0.20498,33.81,2.0
23969,0.40638,0.38737,0.37717,0.44522,0.75648,0.78686,0.71901,0.80838,0.35437,0.08596,0.59367,0.40448,67.71,2.0
133283,0.37257,0.51341,0.36976,0.75876,1.03589,1.04146,1.02383,1.04714,0.67606,0.03487,0.61703,0.41438,33.4,2.0
24828,0.95052,0.97772,1.05591,1.04886,1.07403,1.09514,1.05112,1.09997,0.42418,0.00072,1.01683,0.91223,32.79,2.0
128430,0.77976,0.73187,0.79013,0.79676,0.81339,0.83091,0.7999,0.83415,0.6839,0.1308,0.07218,0.09103,62.29,2.0
153921,0.63857,0.61785,0.62068,0.68243,0.94109,0.94443,0.9233,0.94617,0.65401,0.09241,0.08738,0.10872,59.17,2.0
14756,0.56906,0.52467,0.64673,0.60153,0.64715,0.69431,0.60371,0.72126,0.06825,0.00053,0.54946,0.40412,74.2,2.0
93446,0.34545,0.60227,0.48373,0.9318,0.96043,0.9809,0.92676,0.9964,0.29016,0.00043,0.71805,0.35835,53.9,0.0
176773,0.63331,0.57217,0.62341,0.62786,0.65186,0.67664,0.65535,0.72114,0.34586,0.0057,0.09582,0.11097,73.99,2.0
98652,0.87506,0.93602,0.96514,0.94256,0.96799,0.9872,0.93172,1.00019,0.29602,0.00041,0.9513,0.90413,33.17,0.0
113806,0.54262,0.55126,0.51205,0.60167,0.93614,0.98341,0.86737,1.01396,0.32804,0.01164,0.08289,0.10196,41.58,2.0
62466,0.32905,0.4076,0.29288,0.47063,0.90539,0.9628,0.84719,0.99413,0.06804,0.00042,0.93287,0.682,33.75,0.0
112725,0.61523,0.65296,0.62993,0.75893,0.98273,1.00139,0.94321,1.01672,0.38934,0.04027,0.49408,0.41758,48.09,2.0
173970,0.48317,0.38932,0.4001,0.43839,0.54993,0.56668,0.5245,0.57548,0.20361,0.00197,0.28897,0.20103,81.86,2.0
